9-Digit NDC,Strength per Unit,MME conversion factor
545693146,2,0.15
545693515,1,1
545693540,2,0.15
545695308,37.5,0.1
545695523,5,1
547660200,1,0
547712025,1,7
547712026,5,7
547712027,10,7
547712033,10,7
547714531,2,7
548590520,2,0.15
548680285,30,0.15
548680427,2.5,0
548680510,5,1.5
548681511,0.5,0
548683815,40,1.5
548683986,80,1.5
548684034,10,1
548684598,8,4
548684603,7.5,1.5
548684710,10,1.5
548685097,80,1.5
548685979,50,0.4
549320208,2,0.15
550452918,37.5,0.1
550530425,30,0.15
550810435,,0.15
550810447,4,1
550810936,5,1
551541183,5,1
551541496,30,0.15
551542541,50,0.1
551544990,30,0.15
551545656,50,0.1
551547286,50,0.1
551547553,30,0.15
551549424,0.5,1
551549627,2,0.15
551750978,2,1
551750980,2,1
551751739,5,1.5
551755155,1,1
552530070,200,0.13
552530071,400,0.13
552530072,600,0.13
552530073,800,0.13
552530074,1200,0.13
552530075,1600,0.13
552890005,30,0.15
552890102,2.5,0
552890719,50,0.1
552890895,37.5,0.1
552890944,7.5,1
552890951,5,1.5
553700341,2.4,0.15
553900183,1,7
553900184,2,7
557000124,37.5,0.1
557000557,13.5,1.5
557000606,50,0.4
576640126,5,1
576640155,5,1.5
576640156,7.5,1.5
576640160,10,1.5
576640170,7.5,1
576640176,10,1
576640185,2,0.15
576640187,15,1.5
576640188,80,1.5
576640223,5,1.5
576640224,30,1.5
576640370,10,1.5
576640371,20,1.5
576640377,50,0.1
576640471,100,0.1
576640537,37.5,0.1
576640762,2,11
578663171,10,1
578663913,5,1.5
578810331,100,0.13
578810332,200,0.13
578810333,300,0.13
578810334,400,0.13
578810336,600,0.13
578810338,800,0.13
579260722,10,7
579630103,2,0.15
580160080,5,1
580160268,2.4,0.15
580160422,7.5,1
580160662,5,1
580160674,2,0.15
580164852,2,1
580164862,2,0.15
581770041,5,1.5
581770298,2,4
581770445,15,1.5
581770449,8,4
581770620,2,4
581770621,4,4
581770625,5,1.5
581770677,10,1.5
581770877,0.5,1
581770881,1,1
581770909,0.5,1
581770926,1.5,0.25
584070920,1.8,0.15
586050313,2,0.15
586570500,2,0.15
587160912,7.5,1
590110100,10,1.5
590110103,20,1.5
590110105,40,1.5
590110107,80,1.5
590110201,5,1.5
590110271,20,1
590110272,30,1
590110273,40,1
590110274,60,1
590110275,80,1
590110276,100,1
590110277,120,1
590110312,12,4
590110334,100,0.1
590110410,10,1.5
590110415,15,1.5
590110420,20,1.5
590110430,30,1.5
590110440,40,1.5
590110441,1,4
590110442,2,4
590110444,4,4
590110445,10,4
590110446,10,4
590110451,1,4
590110452,2,4
590110454,4,4
590110458,8,4
590110460,60,1.5
590110480,80,1.5
